kfold,model_path,cl_score_train,clDice_train,binary_dc_train,cl_score_val,clDice_val,binary_dc_val
1,model_0004999.pth,0.63643825224418,0.7343961301565511,0.7202679069396942,0.6549137247616874,0.7274411055518837,0.7166715565269286
1,model_0009999.pth,0.7651007865604351,0.8007224423282374,0.7813776285185424,0.7379645324138652,0.7540540736616628,0.7333854693703531
1,model_0014999.pth,0.7568096763715351,0.8091573458927754,0.8007562423935346,0.7012068728479144,0.7430936061452068,0.7273452428124523
1,model_0019999.pth,0.8214090901980394,0.8434750278745153,0.8282602042696856,0.7385433024407599,0.752940961710092,0.7332757471178157
1,model_0024999.pth,0.8410901853746117,0.8541209317194319,0.8383462449329351,0.7426108790272004,0.7532975480894454,0.7323758428605723
2,model_0004999.pth,0.7890370391250131,0.7810775009399655,0.7516802755361306,0.7649613578251029,0.7568373951398691,0.7364210861516323
2,model_0009999.pth,0.7895153349383753,0.804604918883754,0.7811757232888749,0.7420843719320342,0.755625229692806,0.7362033888299684
2,model_0014999.pth,0.8274072383964005,0.8331305183657887,0.8138864408855229,0.735502818732981,0.7549193508408389,0.7350224927650657
2,model_0019999.pth,0.8517526473105311,0.8505592271437191,0.8308057531871813,0.7360171241296032,0.7563007803814128,0.7359898003649071
2,model_0024999.pth,0.8465273629184842,0.8595840995592983,0.8429241925539808,0.7195041524410587,0.7533009499410191,0.7351825236914024
3,model_0004999.pth,0.7391032767537072,0.7749286242385425,0.7512420799453342,0.6770431611187345,0.7466382747995609,0.7164632261551603
3,model_0009999.pth,0.7878235963958666,0.8057301375587442,0.7858198913545903,0.6875585860020145,0.74936678357224,0.7173153986366996
3,model_0014999.pth,0.807667373320554,0.8260086727388817,0.8123284298223982,0.6815590162735599,0.7451068632670576,0.7151366735949217
3,model_0019999.pth,0.8238717488509334,0.8416534421392159,0.8302058392800358,0.6654636605992008,0.7365060057346219,0.7069208687922003
3,model_0024999.pth,0.8386159123558149,0.8533050529414269,0.8403001426981358,0.6723600994127487,0.7412538937109552,0.7088112708728088
4,model_0004999.pth,0.8120152288880991,0.7791976909461745,0.7487408699337783,0.7964097393764532,0.7522064316305208,0.7205914960384978
4,model_0009999.pth,0.7201103424360065,0.7886095311315244,0.7777899273754029,0.6676834390160585,0.7378700130685194,0.7155107691389647
4,model_0014999.pth,0.8162739953533096,0.8276154038153462,0.8147606747862759,0.7212653409009236,0.7502781467911801,0.7207087786408759
4,model_0019999.pth,0.8466133375878411,0.8466699797358971,0.832628616204542,0.7385387824122406,0.7552033304269907,0.7261112113353456
4,model_0024999.pth,0.8438030898516636,0.8557814708370008,0.8425917710996679,0.7204301423562601,0.754664593608036,0.7238895371427311
5,model_0004999.pth,0.737980158487777,0.765768088613745,0.7469536228290575,0.7224198427844648,0.7619154492636282,0.7339032651304176
5,model_0009999.pth,0.7570848749747371,0.7971345118668622,0.7808303403664297,0.71189668172907,0.7629852829084035,0.7301411621956151
5,model_0014999.pth,0.8202167388193224,0.8280227445927156,0.8141490888887146,0.7400643840969705,0.7649289865661805,0.7325097160068343
5,model_0019999.pth,0.8188008880866207,0.8418876194576994,0.8310045540248082,0.7179683374518099,0.7585723469505352,0.7296184836987354
5,model_0024999.pth,0.842204990775759,0.8544105293910222,0.8412048393031756,0.7262195995517752,0.7610258717212887,0.7300397974367371
